school,state,rank_2022,rank_2021,natuniv_slac
Princeton University,NJ,1,1,National University
Columbia University,NY,2,3,National University
Harvard University,MA,2,2,National University
Massachusetts Institute of Technology,MA,2,4,National University
Yale University,CT,5,4,National University
Stanford University,CA,6,6,National University
University of Chicago,IL,6,6,National University
University of Pennsylvania,PA,8,8,National University
California Institute of Technology,CA,9,9,National University
Duke University,NC,9,12,National University
Johns Hopkins University,MD,9,9,National University
Northwestern University,IL,9,9,National University
Dartmouth College,NH,13,13,National University
Brown University,RI,14,14,National University
Vanderbilt University,TN,14,14,National University
Washington University in St. Louis,MO,14,16,National University
Cornell University,NY,17,18,National University
Rice University,TX,17,16,National University
University of Notre Dame,IN,19,19,National University
University of California-Los Angeles,CA,20,20,National University
Emory University,GA,21,21,National University
University of California-Berkeley,CA,22,22,National University
Georgetown University,DC,23,23,National University
University of Michigan-Ann Arbor,MI,23,24,National University
Carnegie Mellon University,PA,25,26,National University
University of Virginia,VA,25,26,National University
University of Southern California,CA,27,24,National University
New York University,NY,28,30,National University
Tufts University,MA,28,30,National University
University of California-Santa Barbara,CA,28,30,National University
University of Florida,FL,28,30,National University
University of North Carolina-Chapel Hill,NC,28,28,National University
Wake Forest University,NC,28,28,National University
University of California-San Diego,CA,34,35,National University
University of Rochester,NY,34,34,National University
Boston College,MA,36,35,National University
University of California-Irvine,CA,36,35,National University
College of William and Mary,VA,38,39,National University
Georgia Institute of Technology,GA,38,35,National University
University of California-Davis,CA,38,39,National University
University of Texas-Austin,TX,38,42,National University
Boston University,MA,42,42,National University
Brandeis University,MA,42,42,National University
Case Western Reserve University,OH,42,42,National University
Tulane University,LA,42,41,National University
University of Wisconsin-Madison,WI,42,42,National University
University of Illinois-Urbana-Champaign,IL,47,47,National University
University of Georgia,GA,48,47,National University
Lehigh University,PA,49,49,National University
Northeastern University,MA,49,49,National University
Ohio State University-Columbus,OH,49,53,National University
Pepperdine University,CA,49,49,National University
Purdue University,IN,49,53,National University
Villanova University,PA,49,53,National University
