CASEID,hunt_fish,scientists,education,ideology,urbanrural
200015,1,100,6,6,city
200022,0,70,3,4,suburb
200039,0,100,2,2,suburb
200046,0,85,4,3,small town
200053,1,60,8,5,city
200060,0,85,3,4,suburb
200084,1,85,4,4,small town
200091,0,,2,,small town
200107,0,60,2,,small town
200114,1,50,4,,suburb
200121,0,85,2,,city
200138,1,100,2,4,small town
200152,0,70,2,6,city
200169,0,70,7,3,suburb
200176,0,70,3,4,small town
200183,1,70,3,6,small town
200190,0,80,6,3,suburb
200206,0,85,6,3,small town
200220,0,85,6,2,suburb
200244,0,100,2,3,suburb
200268,1,80,7,6,small town
200275,0,,1,4,rural
200282,0,80,6,2,city
200305,0,50,7,6,city
200312,0,70,1,,city
200329,0,75,6,2,suburb
200343,0,85,1,,suburb
200374,0,60,6,5,suburb
200381,0,90,8,5,rural
200404,0,70,2,4,suburb
200411,0,15,2,,suburb
200435,1,50,3,4,small town
200442,1,85,7,2,city
200459,0,50,6,6,small town
200466,0,100,8,2,city
200473,0,85,6,,suburb
200480,0,85,5,,city
200497,0,100,8,1,suburb
200503,0,100,7,1,small town
200510,0,70,6,6,suburb
200527,0,50,6,6,suburb
200534,0,65,5,4,city
200541,0,100,7,7,city
200558,0,40,6,7,small town
200565,0,50,5,3,small town
200589,1,90,2,6,rural
200596,0,85,4,2,small town
200602,1,90,6,3,rural
200626,0,60,6,4,city
200633,1,85,7,6,suburb
200640,0,70,4,4,city
200671,0,100,7,2,city
200688,,,1,4,
200695,0,0,2,,city
200701,1,50,5,4,rural
200718,,,3,6,
200725,1,90,7,3,suburb
200732,0,90,7,3,city
200749,0,85,2,4,small town
200756,1,50,2,6,small town
200763,0,85,6,5,suburb
200770,0,75,7,4,small town
200787,0,100,8,2,city
200794,0,90,7,2,suburb
200800,0,100,6,2,suburb
200817,0,100,4,4,city
200824,0,100,3,5,small town
200831,0,100,7,1,city
200855,0,90,8,2,city
200862,0,70,8,2,small town
200879,0,86,7,2,small town
200886,1,85,4,3,rural
200893,0,100,3,,small town
200909,0,70,2,,city
200916,1,85,3,6,small town
200947,0,85,3,,suburb
200954,0,70,1,4,city
200985,1,9,7,2,suburb
201001,1,70,3,4,suburb
201025,0,100,2,5,rural
201032,0,70,6,5,small town
201063,0,70,3,7,city
201070,0,90,6,2,small town
201087,0,85,3,,city
201094,0,85,6,3,city
201100,0,85,4,4,city
201117,0,80,7,4,suburb
201124,0,100,6,3,small town
201131,0,85,2,,suburb
201155,0,85,6,5,city
201179,0,100,7,5,city
201186,1,85,6,2,suburb
201193,1,50,4,7,small town
201209,0,85,2,3,city
201216,1,85,6,5,small town
201223,0,70,7,6,suburb
201230,1,100,3,3,small town
201247,0,100,6,4,suburb
201254,0,100,6,3,small town
201261,0,70,3,4,small town
201278,1,100,2,2,small town
201285,0,100,2,3,suburb
201292,0,85,7,2,suburb
201322,1,60,4,6,small town
201339,0,51,6,6,rural
201346,0,85,1,2,small town
201353,0,70,2,7,rural
201360,0,70,2,5,small town
201377,0,50,5,6,small town
201384,1,70,3,4,rural
201391,,50,,6,
201407,0,85,8,6,small town
201421,0,60,2,4,small town
201438,0,40,3,6,rural
201445,0,85,6,3,city
201469,0,100,7,4,small town
201476,0,85,5,4,city
201506,1,50,7,6,suburb
201513,0,100,3,,city
201520,0,85,7,6,suburb
201537,0,70,7,6,rural
201544,0,50,3,,city
201551,,,1,1,
201568,0,60,3,,city
201575,1,30,2,5,rural
201599,1,99,2,4,rural
201605,0,100,6,2,suburb
201629,1,50,2,6,small town
201636,0,100,7,3,suburb
201650,1,100,3,,rural
201674,0,85,8,2,suburb
201681,1,90,3,6,city
201711,0,15,6,6,suburb
201728,1,70,6,6,rural
201759,1,85,8,2,rural
201766,0,100,2,6,city
201773,1,100,6,5,suburb
201780,0,85,7,7,suburb
201797,0,100,3,5,small town
201803,0,50,6,3,small town
201810,0,50,2,4,small town
201827,0,100,4,4,city
201834,0,100,4,,suburb
201841,0,100,7,2,suburb
201858,0,70,3,6,city
201865,0,85,7,4,small town
201872,0,100,8,1,small town
201889,,,3,4,
201896,0,70,3,4,suburb
201902,1,85,7,2,suburb
201919,0,85,3,6,small town
201926,,,2,3,
201971,0,50,1,3,rural
201988,,,6,,
201995,1,85,3,6,rural
202004,0,70,6,5,rural
202011,1,75,3,6,rural
202042,0,100,7,2,city
202097,0,60,2,7,small town
202103,1,85,2,,city
202127,0,100,2,7,small town
202141,,85,7,6,suburb
202172,0,100,2,,small town
202189,0,100,,2,city
202196,,,4,2,
202202,1,100,6,2,city
202257,1,40,2,6,rural
202271,0,100,2,4,rural
202288,1,70,3,4,city
202301,0,85,3,4,suburb
202318,1,85,7,6,rural
202325,0,100,8,2,city
202332,0,95,7,2,city
202356,0,85,6,,city
202363,0,90,7,2,suburb
202370,0,90,6,4,suburb
202387,,,6,4,
202400,0,100,3,1,suburb
202417,1,100,2,,rural
202431,1,70,2,6,suburb
202455,0,100,7,6,city
202462,0,50,7,4,city
202479,0,40,3,6,small town
202486,0,85,6,4,suburb
202493,0,85,3,3,city
202509,,,2,,
202516,0,85,2,,city
202523,0,100,2,3,suburb
202530,0,100,7,2,city
202547,0,100,7,4,suburb
202578,1,50,3,6,city
202585,1,85,2,,city
202592,1,50,5,4,suburb
202608,0,85,4,6,city
202615,0,100,2,1,suburb
202622,0,60,5,,city
202639,1,100,7,,suburb
202646,0,90,7,2,city
202653,0,50,8,7,suburb
202660,0,85,6,4,small town
202677,0,85,7,3,suburb
202691,1,75,6,6,small town
202707,1,70,2,4,suburb
202714,0,80,,4,suburb
202721,1,50,2,5,city
202738,0,50,5,3,suburb
202745,0,90,5,,small town
202752,1,90,6,2,city
202769,0,85,7,4,suburb
202783,0,60,2,6,suburb
202790,0,85,4,7,city
202806,0,100,7,2,city
202813,1,85,6,3,small town
202820,0,90,6,4,small town
202837,0,85,3,,suburb
202875,,9,1,,
202882,,,3,1,
202899,0,60,6,4,city
202905,1,100,3,6,suburb
202929,0,100,3,3,city
202936,0,60,3,5,suburb
202943,0,100,3,2,rural
202950,1,85,3,5,rural
202967,0,60,6,,suburb
202974,0,50,3,,city
202998,0,100,2,4,rural
203007,0,60,2,4,small town
203014,0,100,6,2,city
203021,0,100,7,4,suburb
203038,1,85,4,4,suburb
203045,0,100,2,,suburb
203069,0,100,7,4,suburb
203090,0,100,2,4,small town
203106,0,100,8,4,suburb
203113,1,100,3,7,city
203137,1,60,3,6,suburb
203144,0,100,6,2,small town
203151,0,80,5,4,suburb
203168,0,50,3,2,city
203175,,,5,3,
203182,0,85,1,3,small town
203199,0,100,6,2,city
203205,,,2,,
203212,0,100,6,4,small town
203229,0,40,6,7,small town
203236,1,100,3,4,rural
203243,0,60,4,6,suburb
203267,0,100,6,2,city
203281,0,100,,5,suburb
203298,1,85,7,4,rural
203304,,,7,3,
203311,0,70,2,,city
203328,0,100,7,2,city
203335,,,1,,
203342,0,60,4,4,city
203359,1,85,4,6,small town
203366,0,70,7,6,suburb
203380,1,70,7,7,city
203397,0,100,6,1,suburb
203403,0,70,2,4,suburb
203410,0,85,3,2,city
203427,0,100,6,2,suburb
203434,1,85,8,5,small town
203441,0,100,5,2,city
203458,0,15,1,,city
203472,0,85,6,,small town
203489,0,70,7,6,suburb
203496,0,100,8,4,city
203502,1,50,3,5,small town
203519,0,85,6,4,city
203526,0,85,6,,city
203533,0,60,3,2,city
