tortilla,temp,meat,fillings,salsa,uniformity,synergy,guac,cheese,fries,sourcream,rice,beans,cost,volume
2.5,2.5,3.5,4,4,4.5,4.5,none,none,none,none,none,none,5.95,0.77
2,3.5,3,1.5,2.5,1,1.5,none,present,present,none,none,none,9,0.7
2.5,2.5,1.5,2.5,2.5,2,2,present,none,none,none,none,none,9,0.78
3,2.5,3,2.5,3.5,2,3,none,present,none,none,none,none,6.89,0.96
4,3,2.5,3.5,3.5,3,4,none,none,none,none,none,none,6.39,0.93
4.5,4,3,4,4.5,3,3.5,none,none,none,none,none,none,6.75,0.95
4,2,2.5,4,3.5,3,4,none,none,none,none,none,none,5.99,0.81
3.5,4,4,4,4,3,4.5,present,present,present,present,none,none,7.49,0.73
4,3.5,4,4,4.5,5,5,present,present,present,present,none,none,7.49,0.82
3,3,4,3.5,3.5,4,4,present,present,present,present,none,none,7.49,0.88
4,2,5,5,5,3,4,present,present,present,present,none,none,7.49,0.65
4,3,4,4.5,3,4.5,4.5,present,present,present,present,none,none,7.49,0.88
4,2,4,3,4,4,3.5,present,none,none,none,none,none,7.89,0.9
4,4,5,5,5,4,5,none,none,none,none,none,none,8.95,0.65
3,3.5,2,3.5,2.5,2.5,2.5,none,none,none,none,none,none,6.95,0.88
3,5,3,3.5,3,1.5,3,none,present,present,present,none,none,7,0.84
3,4,2.7,4.7,2,2.4,3.7,present,present,none,none,none,none,8.75,0.7
4.5,3.8,3.8,4.5,3,1.5,3.8,present,present,none,none,none,none,8.75,0.7
3,4.5,2.5,2,1.5,5,2,none,present,present,none,none,none,6.65,0.91
4,3.5,4,4,4,4,4.5,present,none,none,none,none,none,6.6,0.85
4,5,4,5,5,4,4,present,none,none,none,none,none,7.5,0.95
4,4,4,3.5,4,3.5,3.5,none,none,none,none,none,none,7.99,1.07
3.5,4,3.5,3.5,4,1,4,none,none,none,none,none,none,6.99,0.84
4,4.5,3,3,4,3,3,none,none,none,none,none,none,5.55,0.74
4.5,4,3.5,4,3,4,4,none,none,present,none,none,none,5.55,0.83
1.5,1,2,2,2,2,2,present,present,none,none,present,present,7.25,0.75
4,2,4,5,4,2,4.5,present,present,present,present,present,none,7.14,0.84
4,2,4.5,4,3,2,4,present,present,present,present,present,none,7.14,0.94
4.5,2,3.3,3.4,3.8,4.5,3.7,present,none,none,none,none,none,6.02,0.65
1.5,4,2,2,1,1,2,present,none,none,none,none,none,6.5,0.68
2,3.5,4,2.5,1.5,1.5,3,present,none,none,none,none,none,5.4,0.57
4.5,5,3,4,2,2,3.75,present,present,present,present,none,none,5.99,0.9
3.5,4,3.5,3,2.5,3.5,3,present,none,none,none,none,none,5.5,0.91
1.5,2.5,3,4.5,2.75,2,3.75,none,none,none,none,none,none,6.25,0.5
3,3,4,4,2.5,3.5,4,none,none,none,none,none,none,8.95,0.92
3.5,4,4,4.5,3,2.5,4,none,none,none,none,none,none,11.95,0.79
3,4,4,4,4.5,2.5,4,none,none,none,none,none,none,11.95,0.82
3,4,1.5,2,3,5,2.5,none,none,none,none,none,none,4.87,0.83
3.5,3,2.5,2.4,3,4.5,3,none,none,none,none,none,none,4.87,0.65
4,4,5,5,5,5,5,none,none,none,none,none,none,4.59,0.6
4.5,4,3.5,4,2,1,2,none,none,none,none,none,none,7,0.77
3,4,3,2,3,1,1.5,none,present,present,present,none,none,6.25,0.75
4,4,2.5,2,2,2,2,present,none,none,none,none,none,6.35,0.6
3.5,4.5,4.5,4,3,1.5,4,none,none,none,none,none,none,7.9,0.75
4,4,4,3.5,4,4,4.5,none,none,none,none,none,none,8.5,0.65
4,3.5,4,3.5,2.5,5,4,none,none,none,none,none,none,6.99,0.65
3.5,3,3,4,4,4,4,none,none,none,none,none,none,5.7,0.75
3.5,3,2.8,3.5,4,4,3.5,none,none,none,none,none,none,5.25,0.74
